Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
"Shreveport-Bossier City, LA",397590,26760,25363,28118,24847,24699,28510,27837,27188,22820,22847,23041,25200,26140,20292,16981,11088,7565,8294,301734,37,92.6,67.4,27,40.4,191171,13563,12757,14370,12711,12709,14035,13657,12951,11135,10868,10921,11858,12136,9497,7352,4612,2957,3082,142497,35.6,,,,,,7.1,6.7,7.5,6.6,6.6,7.3,7.1,6.8,5.8,5.7,5.7,6.2,6.3,5,3.8,2.4,1.5,1.6,74.5,,,,,,206419,13197,12606,13748,12136,11990,14475,14180,14237,11685,11979,12120,13342,14004,10795,9629,6476,4608,5212,159237,38.6,,,,,,6.4,6.1,6.7,5.9,5.8,7,6.9,6.9,5.7,5.8,5.9,6.5,6.8,5.2,4.7,3.1,2.2,2.5,77.1,,,,,
"Sidney, OH",48610,3157,3183,3595,3335,2819,2877,2778,2674,2975,2969,3374,3644,3152,2881,1854,1711,722,910,36497,39.8,101.1,71,28.4,42.6,24437,1605,1701,1877,1769,1455,1467,1396,1282,1571,1485,1685,1878,1632,1419,893,708,338,276,18122,39.2,,,,,,6.6,7,7.7,7.2,6,6,5.7,5.2,6.4,6.1,6.9,7.7,6.7,5.8,3.7,2.9,1.4,1.1,74.2,,,,,,24173,1552,1482,1718,1566,1364,1410,1382,1392,1404,1484,1689,1766,1520,1462,961,1003,384,634,18375,40.7,,,,,,6.4,6.1,7.1,6.5,5.6,5.8,5.7,5.8,5.8,6.1,7,7.3,6.3,6,4,4.1,1.6,2.6,76,,,,,
"Sierra Vista-Douglas, AZ",126442,7314,7944,7407,7852,7554,8100,7602,7765,6450,6443,6991,7229,9690,8445,7547,5017,4044,3048,99283,41,103.7,77.6,39.5,38.2,64371,3677,4240,3542,4261,4300,4477,4160,4414,3217,3315,3407,3169,4631,4214,3603,2289,2138,1317,50525,38.8,,,,,,5.7,6.6,5.5,6.6,6.7,7,6.5,6.9,5,5.1,5.3,4.9,7.2,6.5,5.6,3.6,3.3,2,78.5,,,,,,62071,3637,3704,3865,3591,3254,3623,3442,3351,3233,3128,3584,4060,5059,4231,3944,2728,1906,1731,48758,44,,,,,,5.9,6,6.2,5.8,5.2,5.8,5.5,5.4,5.2,5,5.8,6.5,8.2,6.8,6.4,4.4,3.1,2.8,78.6,,,,,
"Sikeston, MO",38538,2518,2599,2629,2178,2438,2422,2276,2136,2244,2408,2524,2827,2336,2458,1583,1310,901,751,29316,40.1,94.9,72.7,31.4,41.3,18760,1284,1542,1191,1190,1150,1238,1117,964,1179,1111,1266,1292,1184,1197,711,543,409,192,13915,38.4,,,,,,6.8,8.2,6.3,6.3,6.1,6.6,6,5.1,6.3,5.9,6.7,6.9,6.3,6.4,3.8,2.9,2.2,1,74.2,,,,,,19778,1234,1057,1438,988,1288,1184,1159,1172,1065,1297,1258,1535,1152,1261,872,767,492,559,15401,42.2,,,,,,6.2,5.3,7.3,5,6.5,6,5.9,5.9,5.4,6.6,6.4,7.8,5.8,6.4,4.4,3.9,2.5,2.8,77.9,,,,,
"Silver City, NM",27391,1405,1445,1588,1679,1315,1475,1430,1370,1534,1331,1428,1775,2163,2445,1876,1570,641,921,21998,46.5,97.6,88.3,51.2,37.1,13532,756,712,853,925,639,755,630,756,743,631,666,823,1017,1295,867,852,331,281,10666,45,,,,,,5.6,5.3,6.3,6.8,4.7,5.6,4.7,5.6,5.5,4.7,4.9,6.1,7.5,9.6,6.4,6.3,2.4,2.1,78.8,,,,,,13859,649,733,735,754,676,720,800,614,791,700,762,952,1146,1150,1009,718,310,640,11332,47.4,,,,,,4.7,5.3,5.3,5.4,4.9,5.2,5.8,4.4,5.7,5.1,5.5,6.9,8.3,8.3,7.3,5.2,2.2,4.6,81.8,,,,,
"Sioux City, IA-NE-SD",144152,10389,10079,11139,9990,9617,9308,9392,9109,8164,8468,8634,9512,8209,8171,4830,3833,2564,2744,106296,36,99,71.3,26.3,45,71727,5225,5108,5644,5013,5131,4690,4905,4546,3999,4226,4503,4937,3816,4123,2211,1747,1019,884,52562,35.1,,,,,,7.3,7.1,7.9,7,7.2,6.5,6.8,6.3,5.6,5.9,6.3,6.9,5.3,5.7,3.1,2.4,1.4,1.2,73.3,,,,,,72425,5164,4971,5495,4977,4486,4618,4487,4563,4165,4242,4131,4575,4393,4048,2619,2086,1545,1860,53734,37.1,,,,,,7.1,6.9,7.6,6.9,6.2,6.4,6.2,6.3,5.8,5.9,5.7,6.3,6.1,5.6,3.6,2.9,2.1,2.6,74.2,,,,,
"Sioux Falls, SD",264437,19699,19671,18779,16396,16194,19825,20275,19644,16403,15333,15177,16693,14969,12470,9187,5235,3716,4771,196024,35.3,100.4,64.6,22,42.6,132469,9955,9962,9776,8501,7914,10154,10521,10468,8058,7864,7788,8032,7528,6087,4431,2393,1548,1489,97539,34.7,,,,,,7.5,7.5,7.4,6.4,6,7.7,7.9,7.9,6.1,5.9,5.9,6.1,5.7,4.6,3.3,1.8,1.2,1.1,73.6,,,,,,131968,9744,9709,9003,7895,8280,9671,9754,9176,8345,7469,7389,8661,7441,6383,4756,2842,2168,3282,98485,36.1,,,,,,7.4,7.4,6.8,6,6.3,7.3,7.4,7,6.3,5.7,5.6,6.6,5.6,4.8,3.6,2.2,1.6,2.5,74.6,,,,,
"Snyder, TX",16918,1139,961,1431,1285,890,1162,1248,1271,1204,776,1016,1012,972,732,653,544,337,285,12733,36.5,123.5,66.2,25.1,41.1,9350,589,559,688,776,580,640,752,682,857,453,568,545,517,398,328,198,98,122,7080,36.3,,,,,,6.3,6,7.4,8.3,6.2,6.8,8,7.3,9.2,4.8,6.1,5.8,5.5,4.3,3.5,2.1,1,1.3,75.7,,,,,,7568,550,402,743,509,310,522,496,589,347,323,448,467,455,334,325,346,239,163,5653,37.1,,,,,,7.3,5.3,9.8,6.7,4.1,6.9,6.6,7.8,4.6,4.3,5.9,6.2,6,4.4,4.3,4.6,3.2,2.2,74.7,,,,,
"Somerset, KY",64789,3770,3612,4514,3771,3431,3905,3748,4236,3597,4210,4606,4247,4881,3737,3593,1859,1516,1556,50368,41.9,93.8,70,32.2,37.8,31359,1875,1830,2208,1973,1673,1966,1863,1985,1771,2081,2235,2061,2331,1640,1801,919,633,514,24151,40.9,,,,,,6,5.8,7,6.3,5.3,6.3,5.9,6.3,5.6,6.6,7.1,6.6,7.4,5.2,5.7,2.9,2,1.6,77,,,,,,33430,1895,1782,2306,1798,1758,1939,1885,2251,1826,2129,2371,2186,2550,2097,1792,940,883,1042,26217,43.1,,,,,,5.7,5.3,6.9,5.4,5.3,5.8,5.6,6.7,5.5,6.4,7.1,6.5,7.6,6.3,5.4,2.8,2.6,3.1,78.4,,,,,
"Somerset, PA",73844,3540,3641,3637,3861,3833,4355,4278,4367,4211,4893,5257,5982,5564,5216,3874,2695,2095,2545,60467,46.2,109.2,67.7,37.3,30.4,38545,1876,1789,1922,1982,2185,2547,2479,2319,2435,2707,2853,2979,2950,2571,1976,1179,924,872,31676,44.4,,,,,,4.9,4.6,5,5.1,5.7,6.6,6.4,6,6.3,7,7.4,7.7,7.7,6.7,5.1,3.1,2.4,2.3,82.2,,,,,,35299,1664,1852,1715,1879,1648,1808,1799,2048,1776,2186,2404,3003,2614,2645,1898,1516,1171,1673,28791,48.5,,,,,,4.7,5.2,4.9,5.3,4.7,5.1,5.1,5.8,5,6.2,6.8,8.5,7.4,7.5,5.4,4.3,3.3,4.7,81.6,,,,,
"Sonora, CA",54147,2378,2557,2488,2448,2859,3247,3452,2797,2723,3038,3221,4101,4729,4451,3821,2319,1707,1811,45161,48.7,107.3,74.4,45.4,28.9,28023,1181,1466,1123,1312,1600,1917,2112,1449,1699,1545,1610,2029,2202,2292,1780,1179,826,701,23504,45.4,,,,,,4.2,5.2,4,4.7,5.7,6.8,7.5,5.2,6.1,5.5,5.7,7.2,7.9,8.2,6.4,4.2,2.9,2.5,83.9,,,,,,26124,1197,1091,1365,1136,1259,1330,1340,1348,1024,1493,1611,2072,2527,2159,2041,1140,881,1110,21657,51.5,,,,,,4.6,4.2,5.2,4.3,4.8,5.1,5.1,5.2,3.9,5.7,6.2,7.9,9.7,8.3,7.8,4.4,3.4,4.2,82.9,,,,,
"South Bend-Mishawaka, IN-MI",322494,19964,19793,21755,23503,23381,21655,19874,19100,18353,19455,19786,20086,22334,19254,12099,8876,5479,7747,247931,38,95.7,65.8,27.5,38.3,157733,10166,10003,11179,11809,11413,10961,9967,9579,8970,9574,9621,9972,10697,9142,5687,3995,2444,2554,119567,36.9,,,,,,6.4,6.3,7.1,7.5,7.2,6.9,6.3,6.1,5.7,6.1,6.1,6.3,6.8,5.8,3.6,2.5,1.5,1.6,75.8,,,,,,164761,9798,9790,10576,11694,11968,10694,9907,9521,9383,9881,10165,10114,11637,10112,6412,4881,3035,5193,128364,39.3,,,,,,5.9,5.9,6.4,7.1,7.3,6.5,6,5.8,5.7,6,6.2,6.1,7.1,6.1,3.9,3,1.8,3.2,77.9,,,,,
"Spartanburg, SC",313791,19117,20039,21040,21032,19982,22834,20181,19529,17910,20562,20938,20719,19111,17270,13313,8644,5713,5857,241036,38,94.3,64.9,26.7,38.2,152298,9731,10239,10511,10672,10012,11199,9912,9590,8712,10045,10305,10085,8974,7747,6380,3973,2209,2002,115327,37.1,,,,,,6.4,6.7,6.9,7,6.6,7.4,6.5,6.3,5.7,6.6,6.8,6.6,5.9,5.1,4.2,2.6,1.5,1.3,75.7,,,,,,161493,9386,9800,10529,10360,9970,11635,10269,9939,9198,10517,10633,10634,10137,9523,6933,4671,3504,3855,125709,39.3,,,,,,5.8,6.1,6.5,6.4,6.2,7.2,6.4,6.2,5.7,6.5,6.6,6.6,6.3,5.9,4.3,2.9,2.2,2.4,77.8,,,,,
"Spearfish, SD",25806,1064,1123,1455,1914,2234,1446,1558,1269,1453,1252,1424,1891,2092,2083,1369,708,890,581,21267,42.3,98.2,65,36,29,12783,560,593,647,958,1086,755,838,685,699,630,707,823,1151,1001,717,347,341,245,10470,40.9,,,,,,4.4,4.6,5.1,7.5,8.5,5.9,6.6,5.4,5.5,4.9,5.5,6.4,9,7.8,5.6,2.7,2.7,1.9,81.9,,,,,,13023,504,530,808,956,1148,691,720,584,754,622,717,1068,941,1082,652,361,549,336,10797,42.9,,,,,,3.9,4.1,6.2,7.3,8.8,5.3,5.5,4.5,5.8,4.8,5.5,8.2,7.2,8.3,5,2.8,4.2,2.6,82.9,,,,,
"Spencer, IA",16138,964,1019,1046,947,935,874,927,1021,808,848,987,1036,1338,1118,658,548,421,643,12509,41.6,96.6,76.9,37.1,39.8,7928,479,593,457,443,473,458,486,489,407,437,534,489,666,568,277,220,160,292,6120,40.8,,,,,,6,7.5,5.8,5.6,6,5.8,6.1,6.2,5.1,5.5,6.7,6.2,8.4,7.2,3.5,2.8,2,3.7,77.2,,,,,,8210,485,426,589,504,462,416,441,532,401,411,453,547,672,550,381,328,261,351,6389,43.2,,,,,,5.9,5.2,7.2,6.1,5.6,5.1,5.4,6.5,4.9,5,5.5,6.7,8.2,6.7,4.6,4,3.2,4.3,77.8,,,,,
"Spirit Lake, IA",17260,768,985,932,928,804,809,853,994,926,961,1027,1281,1500,1415,1125,783,533,636,13983,48.2,98.8,81.9,47.3,34.5,8579,391,540,505,528,403,412,443,450,499,485,525,630,728,654,570,360,222,234,6814,46.6,,,,,,4.6,6.3,5.9,6.2,4.7,4.8,5.2,5.2,5.8,5.7,6.1,7.3,8.5,7.6,6.6,4.2,2.6,2.7,79.4,,,,,,8681,377,445,427,400,401,397,410,544,427,476,502,651,772,761,555,423,311,402,7169,50.3,,,,,,4.3,5.1,4.9,4.6,4.6,4.6,4.7,6.3,4.9,5.5,5.8,7.5,8.9,8.8,6.4,4.9,3.6,4.6,82.6,,,,,
"Spokane-Spokane Valley, WA",558635,33257,34227,34712,35260,36522,42364,39133,35590,32519,33042,33689,36301,38359,31344,25573,15320,10515,10908,435666,38.4,98.6,63.3,27.4,36,277314,17064,17941,17500,18196,18654,21857,19879,17459,16960,16618,16455,17263,18770,14934,12175,6922,4904,3763,214045,37.2,,,,,,6.2,6.5,6.3,6.6,6.7,7.9,7.2,6.3,6.1,6,5.9,6.2,6.8,5.4,4.4,2.5,1.8,1.4,77.2,,,,,,281321,16193,16286,17212,17064,17868,20507,19254,18131,15559,16424,17234,19038,19589,16410,13398,8398,5611,7145,221621,39.5,,,,,,5.8,5.8,6.1,6.1,6.4,7.3,6.8,6.4,5.5,5.8,6.1,6.8,7,5.8,4.8,3,2,2.5,78.8,,,,,
"Springfield, IL",208224,11966,13268,12854,13022,12067,12791,13083,12867,12737,12697,13888,15700,13896,12777,9149,5929,4705,4828,161854,40.7,92.3,67.3,30,37.3,99926,6137,6772,6540,6608,6003,6175,6307,6211,6223,6130,6776,7413,6683,6101,3902,2452,2148,1345,76302,39.4,,,,,,6.1,6.8,6.5,6.6,6,6.2,6.3,6.2,6.2,6.1,6.8,7.4,6.7,6.1,3.9,2.5,2.1,1.3,76.4,,,,,,108298,5829,6496,6314,6414,6064,6616,6776,6656,6514,6567,7112,8287,7213,6676,5247,3477,2557,3483,85552,42,,,,,,5.4,6,5.8,5.9,5.6,6.1,6.3,6.1,6,6.1,6.6,7.7,6.7,6.2,4.8,3.2,2.4,3.2,79,,,,,
"Springfield, MA",698537,33957,37194,39602,54602,61115,44906,42279,38476,39711,41661,45549,49487,47705,41737,30376,19705,13228,17247,562422,39.6,92.2,58.7,27.8,30.9,335033,17432,17867,21453,26517,29854,22713,20967,18092,19046,19918,21680,23207,22913,19700,13906,8358,5797,5613,265275,38,,,,,,5.2,5.3,6.4,7.9,8.9,6.8,6.3,5.4,5.7,5.9,6.5,6.9,6.8,5.9,4.2,2.5,1.7,1.7,79.2,,,,,,363504,16525,19327,18149,28085,31261,22193,21312,20384,20665,21743,23869,26280,24792,22037,16470,11347,7431,11634,297147,41.1,,,,,,4.5,5.3,5,7.7,8.6,6.1,5.9,5.6,5.7,6,6.6,7.2,6.8,6.1,4.5,3.1,2,3.2,81.7,,,,,
"Springfield, MO",466897,28801,28251,30397,31504,40313,32677,29751,29117,27419,27388,27081,30159,27089,25500,18258,14309,9630,9253,362122,37.1,95.5,63.7,27,36.7,228125,14594,15132,14932,15910,19823,16246,14860,14835,13871,13747,13240,14327,13042,11792,8370,6223,3915,3266,174634,35.9,,,,,,6.4,6.6,6.5,7,8.7,7.1,6.5,6.5,6.1,6,5.8,6.3,5.7,5.2,3.7,2.7,1.7,1.4,76.6,,,,,,238772,14207,13119,15465,15594,20490,16431,14891,14282,13548,13641,13841,15832,14047,13708,9888,8086,5715,5987,187488,38.3,,,,,,6,5.5,6.5,6.5,8.6,6.9,6.2,6,5.7,5.7,5.8,6.6,5.9,5.7,4.1,3.4,2.4,2.5,78.5,,,,,
"Springfield, OH",134409,8006,8018,8850,9110,8363,7958,7719,7149,7333,8278,8853,9872,8824,8285,6614,4569,3062,3546,104197,41.5,94,72.1,33.4,38.7,65137,4056,4166,4533,4542,4188,3993,3730,3260,3735,4026,4421,4763,4221,3988,2912,2144,1252,1207,49644,40.2,,,,,,6.2,6.4,7,7,6.4,6.1,5.7,5,5.7,6.2,6.8,7.3,6.5,6.1,4.5,3.3,1.9,1.9,76.2,,,,,,69272,3950,3852,4317,4568,4175,3965,3989,3889,3598,4252,4432,5109,4603,4297,3702,2425,1810,2339,54553,42.8,,,,,,5.7,5.6,6.2,6.6,6,5.7,5.8,5.6,5.2,6.1,6.4,7.4,6.6,6.2,5.3,3.5,2.6,3.4,78.8,,,,,
"Starkville, MS",59320,3124,2657,3416,6486,11192,4758,3367,3392,2422,2383,2866,2726,3128,2980,1163,1627,715,918,48341,27.8,97.6,44.9,18.1,26.8,29293,1508,1239,1845,3161,6114,2476,1705,1678,1196,1066,1343,1323,1434,1514,435,709,238,309,23828,26.4,,,,,,5.1,4.2,6.3,10.8,20.9,8.5,5.8,5.7,4.1,3.6,4.6,4.5,4.9,5.2,1.5,2.4,0.8,1.1,81.3,,,,,,30027,1616,1418,1571,3325,5078,2282,1662,1714,1226,1317,1523,1403,1694,1466,728,918,477,609,24513,29.2,,,,,,5.4,4.7,5.2,11.1,16.9,7.6,5.5,5.7,4.1,4.4,5.1,4.7,5.6,4.9,2.4,3.1,1.6,2,81.6,,,,,
"State College, PA",162264,6288,6988,6634,16080,26496,12580,9938,7996,9343,8687,9362,9487,9283,7514,5681,3932,2787,3188,137955,32.9,110.9,41.3,20.1,21.2,85309,3297,3593,3471,8084,14746,7307,5567,4534,4980,4620,4968,4612,4951,3681,2747,1848,1123,1180,72815,31.7,,,,,,3.9,4.2,4.1,9.5,17.3,8.6,6.5,5.3,5.8,5.4,5.8,5.4,5.8,4.3,3.2,2.2,1.3,1.4,85.4,,,,,,76955,2991,3395,3163,7996,11750,5273,4371,3462,4363,4067,4394,4875,4332,3833,2934,2084,1664,2008,65140,34.4,,,,,,3.9,4.4,4.1,10.4,15.3,6.9,5.7,4.5,5.7,5.3,5.7,6.3,5.6,5,3.8,2.7,2.2,2.6,84.6,,,,,
"Statesboro, GA",77719,4451,3437,5104,9379,11560,5818,5117,4667,3732,3990,3895,3748,4030,3069,2329,1535,1053,805,62285,29.2,95.4,45.3,16.4,28.9,37941,2364,1677,2469,4643,5983,3061,2516,2098,1889,1838,1857,1510,2082,1392,1178,653,404,327,30192,27.9,,,,,,6.2,4.4,6.5,12.2,15.8,8.1,6.6,5.5,5,4.8,4.9,4,5.5,3.7,3.1,1.7,1.1,0.9,79.6,,,,,,39778,2087,1760,2635,4736,5577,2757,2601,2569,1843,2152,2038,2238,1948,1677,1151,882,649,478,32093,30.6,,,,,,5.2,4.4,6.6,11.9,14,6.9,6.5,6.5,4.6,5.4,5.1,5.6,4.9,4.2,2.9,2.2,1.6,1.2,80.7,,,,,
"Staunton, VA",122714,6299,6760,7046,6724,6760,7862,7361,7368,7463,7829,8360,9481,8350,8363,5787,4302,3142,3457,98424,43.7,97.7,67.2,34.1,33.1,60655,3239,3392,3765,3405,3387,3907,3938,3486,4153,3779,4284,4605,4127,4018,2633,1888,1067,1582,47937,42.4,,,,,,5.3,5.6,6.2,5.6,5.6,6.4,6.5,5.7,6.8,6.2,7.1,7.6,6.8,6.6,4.3,3.1,1.8,2.6,79,,,,,,62059,3060,3368,3281,3319,3373,3955,3423,3882,3310,4050,4076,4876,4223,4345,3154,2414,2075,1875,50487,45.1,,,,,,4.9,5.4,5.3,5.3,5.4,6.4,5.5,6.3,5.3,6.5,6.6,7.9,6.8,7,5.1,3.9,3.3,3,81.4,,,,,
"Steamboat Springs, CO",25317,1099,1302,1217,1463,1391,1781,1995,2131,1485,1883,1655,2093,1893,1798,948,560,379,244,20825,40.5,110.3,49.8,23.3,26.6,13280,510,642,708,776,789,955,1117,1137,843,1002,824,1088,857,981,466,342,144,99,10987,40,,,,,,3.8,4.8,5.3,5.8,5.9,7.2,8.4,8.6,6.3,7.5,6.2,8.2,6.5,7.4,3.5,2.6,1.1,0.7,82.7,,,,,,12037,589,660,509,687,602,826,878,994,642,881,831,1005,1036,817,482,218,235,145,9838,42.5,,,,,,4.9,5.5,4.2,5.7,5,6.9,7.3,8.3,5.3,7.3,6.9,8.3,8.6,6.8,4,1.8,2,1.2,81.7,,,,,
"Stephenville, TX",42226,2498,2390,2437,4516,5830,2972,2218,2759,1678,2083,2325,2337,2311,1937,1455,986,674,820,33475,30.8,94.3,53,21.3,31.7,20493,1360,1291,1170,1860,2876,1460,1177,1348,867,912,1215,1002,1316,817,742,464,274,342,15989,30.7,,,,,,6.6,6.3,5.7,9.1,14,7.1,5.7,6.6,4.2,4.5,5.9,4.9,6.4,4,3.6,2.3,1.3,1.7,78,,,,,,21733,1138,1099,1267,2656,2954,1512,1041,1411,811,1171,1110,1335,995,1120,713,522,400,478,17486,30.8,,,,,,5.2,5.1,5.8,12.2,13.6,7,4.8,6.5,3.7,5.4,5.1,6.1,4.6,5.2,3.3,2.4,1.8,2.2,80.5,,,,,
"Sterling, CO",22282,1205,820,1314,1442,1635,1937,1567,1508,1322,1437,1393,1300,1533,1367,690,682,514,616,18277,38.9,123.1,54.7,26.9,27.8,12296,557,453,638,828,1032,1248,1006,913,695,908,768,710,793,618,372,309,257,191,10312,37.3,,,,,,4.5,3.7,5.2,6.7,8.4,10.1,8.2,7.4,5.7,7.4,6.2,5.8,6.4,5,3,2.5,2.1,1.6,83.9,,,,,,9986,648,367,676,614,603,689,561,595,627,529,625,590,740,749,318,373,257,425,7965,40.7,,,,,,6.5,3.7,6.8,6.1,6,6.9,5.6,6,6.3,5.3,6.3,5.9,7.4,7.5,3.2,3.7,2.6,4.3,79.8,,,,,
"Sterling, IL",55583,3047,3093,3903,3511,2923,3110,2805,2999,3359,3528,3535,4007,4254,3632,2712,2066,1378,1721,43334,43.6,100,74.7,36.2,38.5,27788,1719,1708,1920,1844,1482,1587,1385,1434,1737,1881,1755,1998,2099,1727,1326,867,561,758,21307,42.2,,,,,,6.2,6.1,6.9,6.6,5.3,5.7,5,5.2,6.3,6.8,6.3,7.2,7.6,6.2,4.8,3.1,2,2.7,76.7,,,,,,27795,1328,1385,1983,1667,1441,1523,1420,1565,1622,1647,1780,2009,2155,1905,1386,1199,817,963,22027,44.9,,,,,,4.8,5,7.1,6,5.2,5.5,5.1,5.6,5.8,5.9,6.4,7.2,7.8,6.9,5,4.3,2.9,3.5,79.2,,,,,
"Stevens Point, WI",70822,3435,3930,3855,5653,8153,4559,3972,3910,3873,3681,4521,4812,4679,3900,3068,2137,1294,1390,57212,37.2,102.4,55.9,26,30,35837,1764,2037,2042,2849,4228,2450,2022,2019,1950,1915,2308,2341,2393,1958,1507,936,547,571,28752,36.2,,,,,,4.9,5.7,5.7,7.9,11.8,6.8,5.6,5.6,5.4,5.3,6.4,6.5,6.7,5.5,4.2,2.6,1.5,1.6,80.2,,,,,,34985,1671,1893,1813,2804,3925,2109,1950,1891,1923,1766,2213,2471,2286,1942,1561,1201,747,819,28460,38.3,,,,,,4.8,5.4,5.2,8,11.2,6,5.6,5.4,5.5,5,6.3,7.1,6.5,5.6,4.5,3.4,2.1,2.3,81.3,,,,,
"Stillwater, OK",81912,4262,4700,4103,8216,16310,6332,4895,4265,4101,3333,3479,3846,3741,3300,2473,2194,1175,1187,66302,27.3,104,46.3,18.5,27.9,41757,2145,2153,2341,4129,8945,3492,2599,2046,2181,1741,1704,1929,1776,1573,1102,888,463,550,33691,26.5,,,,,,5.1,5.2,5.6,9.9,21.4,8.4,6.2,4.9,5.2,4.2,4.1,4.6,4.3,3.8,2.6,2.1,1.1,1.3,80.7,,,,,,40155,2117,2547,1762,4087,7365,2840,2296,2219,1920,1592,1775,1917,1965,1727,1371,1306,712,637,32611,28.9,,,,,,5.3,6.3,4.4,10.2,18.3,7.1,5.7,5.5,4.8,4,4.4,4.8,4.9,4.3,3.4,3.3,1.8,1.6,81.2,,,,,
"Stockton, CA",751615,52370,57392,59177,55728,51488,54303,51063,50595,47565,46591,45286,43663,40445,31644,25011,16498,10314,12482,547945,34.4,99.4,66.3,21.2,45.1,374641,26741,29533,30358,28879,26362,28079,26002,26186,22989,23214,22860,21905,19262,14903,11266,7228,4303,4571,270138,33.3,,,,,,7.1,7.9,8.1,7.7,7,7.5,6.9,7,6.1,6.2,6.1,5.8,5.1,4,3,1.9,1.1,1.2,72.1,,,,,,376974,25629,27859,28819,26849,25126,26224,25061,24409,24576,23377,22426,21758,21183,16741,13745,9270,6011,7911,277807,35.6,,,,,,6.8,7.4,7.6,7.1,6.7,7,6.6,6.5,6.5,6.2,5.9,5.8,5.6,4.4,3.6,2.5,1.6,2.1,73.7,,,,,
"Storm Lake, IA",19950,1443,1539,1250,1659,1592,1239,1247,1380,869,1045,1012,1522,1134,977,664,449,299,630,14790,35,98.6,69.5,25.6,43.8,9903,714,845,474,851,863,584,695,683,434,575,517,674,639,476,331,215,131,202,7394,34.2,,,,,,7.2,8.5,4.8,8.6,8.7,5.9,7,6.9,4.4,5.8,5.2,6.8,6.5,4.8,3.3,2.2,1.3,2,74.7,,,,,,10047,729,694,776,808,729,655,552,697,435,470,495,848,495,501,333,234,168,428,7396,35.4,,,,,,7.3,6.9,7.7,8,7.3,6.5,5.5,6.9,4.3,4.7,4.9,8.4,4.9,5,3.3,2.3,1.7,4.3,73.6,,,,,
"Sturgis, MI",60789,3919,4051,4277,4149,3469,3594,3579,3447,3511,3447,3899,4693,3993,3776,2603,1875,1402,1105,45897,39.8,99.4,73,30.6,42.4,30298,2048,2056,2180,2136,1829,1818,1784,1810,1759,1782,1902,2301,1997,1802,1271,801,569,453,22728,38.1,,,,,,6.8,6.8,7.2,7,6,6,5.9,6,5.8,5.9,6.3,7.6,6.6,5.9,4.2,2.6,1.9,1.5,75,,,,,,30491,1871,1995,2097,2013,1640,1776,1795,1637,1752,1665,1997,2392,1996,1974,1332,1074,833,652,23169,41.2,,,,,,6.1,6.5,6.9,6.6,5.4,5.8,5.9,5.4,5.7,5.5,6.5,7.8,6.5,6.5,4.4,3.5,2.7,2.1,76,,,,,
